"id","eco_id","duty_type_id","night","hard","briefing_time","debriefing_time","flight_time","crew_type_id","duty_group_id","acclimatization","increased_one_hour","night_departure","night_arrival","date_start_plan_utc","date_end_plan_utc","date_start_fact_utc","date_end_fact_utc","rps_briefing_time","rps_debriefing_time","duration_plan","duration_fact","duration_right_max","block_time","work_time_plan","work_time_fact","briefing_work_time","debriefing_work_time","rps_briefing_work_time","rps_debriefing_work_time","duration_plan_max"
"31","NULL","1","NULL","NULL","NULL","NULL","130","1","2076475218","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","130","NULL","NULL","NULL","NULL","NULL","NULL"
"32","NULL","1","NULL","NULL","NULL","NULL","130","1","2076475221","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","130","NULL","NULL","NULL","NULL","NULL","NULL"
"33","NULL","1","NULL","NULL","NULL","NULL","130","1","2076475220","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","130","NULL","NULL","NULL","NULL","NULL","NULL"
"34","NULL","1","NULL","NULL","NULL","NULL","130","1","2076475223","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","130","NULL","NULL","NULL","NULL","NULL","NULL"
"35","NULL","1","NULL","NULL","NULL","NULL","130","1","2076475222","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","130","NULL","NULL","NULL","NULL","NULL","NULL"
"36","NULL","1","NULL","NULL","NULL","NULL","210","1","2076475328","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"37","NULL","1","NULL","NULL","NULL","NULL","210","1","2076475330","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"38","NULL","1","NULL","NULL","NULL","NULL","210","1","2076475335","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"39","NULL","1","NULL","NULL","NULL","NULL","210","1","2076475337","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"40","NULL","1","NULL","NULL","NULL","NULL","210","1","2076475339","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"41","NULL","1","NULL","NULL","NULL","NULL","210","1","2076475338","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"42","NULL","1","NULL","NULL","NULL","NULL","210","1","2076475340","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"43","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471470","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"44","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471472","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"45","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471474","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"46","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471476","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"47","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471478","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"48","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471480","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"49","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471482","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"50","NULL","1","NULL","NULL","NULL","NULL","295","1","2076471434","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","295","NULL","NULL","NULL","NULL","NULL","NULL"
"51","NULL","1","NULL","NULL","NULL","NULL","295","1","2076471437","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","295","NULL","NULL","NULL","NULL","NULL","NULL"
"52","NULL","1","NULL","NULL","NULL","NULL","295","1","2076471436","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","295","NULL","NULL","NULL","NULL","NULL","NULL"
"53","NULL","1","NULL","NULL","NULL","NULL","295","1","2076471407","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","295","NULL","NULL","NULL","NULL","NULL","NULL"
"54","NULL","1","NULL","NULL","NULL","NULL","295","1","2076471406","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","295","NULL","NULL","NULL","NULL","NULL","NULL"
"55","NULL","1","NULL","NULL","NULL","NULL","290","1","2076471402","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","290","NULL","NULL","NULL","NULL","NULL","NULL"
"56","NULL","1","NULL","NULL","NULL","NULL","290","1","2076471405","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","290","NULL","NULL","NULL","NULL","NULL","NULL"
"57","NULL","1","NULL","NULL","NULL","NULL","255","1","2076471378","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","255","NULL","NULL","NULL","NULL","NULL","NULL"
"58","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475225","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
