"id","arrival_airport_code","arrival_airport_terminal","change_date","deadhead","departure_airport_code","departure_airport_terminal","airline_designator","aircraft_type","number","operational_suffix","leg_sequence_number","onward_carrier","onward_flight","onward_suffix","plan_arrival_date_utc","plan_departure_date_utc","service_type","status","route_id","ofp_time_start_utc","ofp_time_end_utc","code_sharing","aircraft_reg_num","estim_blockoff_time_utc","estim_blockon_time_utc","actual_departure_date_utc","actual_arrival_date_utc","onward_flight_date","warning_status","warning_status_time","date_eng_on_utc","date_eng_off_utc","special_status","version_id","start_date_utc","comment","action_type","change_source","modification_id","class_config","leg_oper_schedule_status","flight_time","user_id","smak_id"
"1297617","EVN","NULL","2023-04-26T15:05:47.425868","NULL","SVO","C","SU","321","1964","NULL","1","NULL","NULL","NULL","2023-01-01T04:35:00","2023-01-01T00:45:00","J","ACTIVE","139018035474250140","2023-01-01T04:35:00","2023-01-02T04:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-31T03:00:00","NULL","NEW","SSIM","65","C28,Y142","NULL","NULL","NULL","NULL"
"1297621","SVO","C","2023-04-26T15:05:47.451316","NULL","EVN","NULL","SU","321","1965","NULL","1","NULL","NULL","NULL","2022-12-25T09:30:00","2022-12-25T05:35:00","J","ACTIVE","139018035474510144","2022-12-25T09:30:00","2022-12-26T09:29:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-25T03:00:00","NULL","NEW","SSIM","65","C28,Y142","NULL","NULL","NULL","NULL"
"1297622","SVO","C","2023-04-26T15:05:47.451316","NULL","EVN","NULL","SU","321","1965","NULL","1","NULL","NULL","NULL","2022-12-30T09:30:00","2022-12-30T05:35:00","J","ACTIVE","139018035474510145","2022-12-30T09:30:00","2022-12-31T09:29:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-30T03:00:00","NULL","NEW","SSIM","65","C28,Y142","NULL","NULL","NULL","NULL"
"1297624","SVO","B","2023-04-26T15:05:47.457469","NULL","NOZ","NULL","SU","73H","1799","NULL","1","NULL","NULL","NULL","2022-12-30T11:30:00","2022-12-30T06:30:00","G","ACTIVE","139018035474570147","2022-12-30T11:30:00","2022-12-31T11:29:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-30T03:00:00","NULL","NEW","SSIM","65","C20,Y138","NULL","NULL","NULL","NULL"
"1297625","SVO","B","2023-04-26T15:05:47.461844","NULL","MRV","NULL","SU","32A","1315","NULL","1","NULL","NULL","NULL","2022-12-16T10:55:00","2022-12-16T07:15:00","J","ACTIVE","139018035474610148","2022-12-16T10:55:00","2022-12-17T10:54:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-16T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297626","SVO","B","2023-04-26T15:05:47.461844","NULL","MRV","NULL","SU","32A","1315","NULL","1","NULL","NULL","NULL","2022-12-17T10:55:00","2022-12-17T07:15:00","J","ACTIVE","139018035474610149","2022-12-17T10:55:00","2022-12-18T10:54:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-17T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297627","SVO","B","2023-04-26T15:05:47.461844","NULL","MRV","NULL","SU","32A","1315","NULL","1","NULL","NULL","NULL","2022-12-18T10:55:00","2022-12-18T07:15:00","J","ACTIVE","139018035474610150","2022-12-18T10:55:00","2022-12-19T10:54:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-18T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297628","SVO","B","2023-04-26T15:05:47.461844","NULL","MRV","NULL","SU","32A","1315","NULL","1","NULL","NULL","NULL","2022-12-19T10:55:00","2022-12-19T07:15:00","J","ACTIVE","139018035474610151","2022-12-19T10:55:00","2022-12-20T10:54:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-19T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297629","SVO","B","2023-04-26T15:05:47.461844","NULL","MRV","NULL","SU","32A","1315","NULL","1","NULL","NULL","NULL","2022-12-20T10:55:00","2022-12-20T07:15:00","J","ACTIVE","139018035474610152","2022-12-20T10:55:00","2022-12-21T10:54:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-20T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297630","SVO","B","2023-04-26T15:05:47.461844","NULL","MRV","NULL","SU","32A","1315","NULL","1","NULL","NULL","NULL","2022-12-21T10:55:00","2022-12-21T07:15:00","J","ACTIVE","139018035474610153","2022-12-21T10:55:00","2022-12-22T10:54:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-21T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297631","SVO","B","2023-04-26T15:05:47.461844","NULL","MRV","NULL","SU","32A","1315","NULL","1","NULL","NULL","NULL","2022-12-22T10:55:00","2022-12-22T07:15:00","J","ACTIVE","139018035474610154","2022-12-22T10:55:00","2022-12-23T10:54:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-22T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297632","NOZ","NULL","2023-04-26T15:05:47.471048","NULL","SVO","B","SU","73H","1798","NULL","1","NULL","NULL","NULL","2022-12-30T05:20:00","2022-12-30T01:00:00","G","ACTIVE","139018035474710155","2022-12-30T05:20:00","2022-12-31T05:19:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-29T03:00:00","NULL","NEW","SSIM","65","C20,Y138","NULL","NULL","NULL","NULL"
"1297633","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-16T22:35:00","2022-12-16T19:05:00","J","ACTIVE","139018035474750156","2022-12-16T22:35:00","2022-12-17T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-16T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297634","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-17T22:35:00","2022-12-17T19:05:00","J","ACTIVE","139018035474750157","2022-12-17T22:35:00","2022-12-18T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-17T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
